Year,renewable_share,annual_change,annual_growth_pct
2000,15.71,,
2001,15.41,-0.3000000000000007,-1.9096117122851752
2002,15.38,-0.02999999999999936,-0.194678780012969
2003,15.21,-0.16999999999999993,-1.1053315994798418
2004,14.93,-0.28000000000000114,-1.8408941485864583
2005,14.83,-0.09999999999999964,-0.6697923643670389
2006,14.87,0.03999999999999915,0.2697235333782855
2007,14.7,-0.16999999999999993,-1.143241425689312
2008,14.82,0.120000000000001,0.8163265306122547
2009,15.22,0.40000000000000036,2.6990553306342813
2010,14.91,-0.3100000000000005,-2.036793692509864
2011,14.88,-0.02999999999999936,-0.2012072434607548
2012,15.14,0.2599999999999998,1.7473118279569988
2013,15.43,0.28999999999999915,1.9154557463672228
2014,15.57,0.14000000000000057,0.9073233959818516
2015,15.6,0.02999999999999936,0.19267822736031004
2016,15.83,0.23000000000000043,1.4743589743589691
2017,16.03,0.20000000000000107,1.2634238787113228
2018,16.28,0.25,1.5595757953836609
2019,16.62,0.33999999999999986,2.0884520884520974
2020,17.88,1.259999999999998,7.581227436823101
2021,17.57,-0.3099999999999987,-1.733780760626391
2022,17.9,0.3299999999999983,1.878201479795094
